Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C17, C18, C19, C3, C35, C4, C5, C6, C9",0603,12,100nF,C14663
"C11, C12, C7, C8",0603,4,4.7uF,C19666
"C23, C24, C25, C26",0805,4,10uF,C15850
"D1, D2",0805,2,LED,C2296
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,PinHeader_2x12_P2.54mm_Vertical,1,Bus,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Prog,
J5,ICD15S13E4GV00LF,1,VGA,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Flash enable,
L1,L_Bourns-SRN4018,1,NRS4018T2R2MDGJ,C92959
"R1, R2, R3, R4",0603,4,10k,C25804
"R14, R16, R19, R20",0603,4,47k,C25819
"R17, R18",0603,2,1,C22936
"R21, R31, R39",0603,3,536,C17746
"R24, R33, R40",0603,3,1070,C22762
"R25, R35, R41",0603,3,2150,C22901
"R27, R38, R42",0603,3,4300,C137712
"R34, R37",0603,2,820,C23253
"R5, R6",0603,2,68,C23228
SW1,SW_PUSH_6mm,1,SW_Push,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,C2678152
U10,SOT-23-5,1,MIC5504-3.3YM5,C41348078
U2,TSSOP-14_4.4x5mm_P0.65mm,1,74AHC00PW,C8143
U3,TSSOP-24_4.4x7.8mm_P0.65mm,1,SN74CBTD3861PWR,C2655473
U5,TSSOP-24_4.4x7.8mm_P0.65mm,1,74LVC4245APW,C354456
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,W25Q16JVSNIQ,C2456211
U9,SOT-23-5,1,AP3417CKTR-G1,C500759
X1,Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm,1,SG5032CAN_25.000000M-TJGA3,
